NU_ANO_CENSO;SG_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;CO_ESCOLA_SEDE_VINCULADA;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE
2021;AC;Acrelândia;1200013;ESC ALTINA MAGALHAES DA SILVA;12008966;3;2;1;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC MARIA DE JESUS RIBEIRO;12009164;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC PROF PEDRO DE CASTRO MEIRELES;12009229;2;1;0;0;1;1;1;0;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC SAO PEDRO;12009296;3;2;1;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC SANTA LUCIA III;12018422;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC BRANCA DE NEVE;12020613;3;1;0;0;0;1;0;1;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC MARCILIO PONTES DOS SANTOS;12021768;2;1;0;0;1;1;0;1;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC NOVO HORIZONTE;12023531;3;1;0;0;1;1;0;1;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC BOM JESUS;12023582;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC RITA BOCALOM;12048224;3;1;0;0;1;1;0;1;0;0;1;0;0;0
2021;AC;Acrelândia;1200013;ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN;12128236;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC XVII DE NOVEMBRO;12007285;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC ALADIA AQUINO BONFIM;12015768;3;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC ALBERTO MARTAN;12015776;3;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC BENEDITO BATISTA DE ARAUJO;12015814;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC CHICO MENDES;12015830;3;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC CARIOLANDO DE SOUZA GOMES;12015849;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC EDILSA MARIA BATISTA;12015873;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC FRANCISCO MENEZES DE ARAUJO;12015890;3;2;0;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC GEZILDA DE FREITAS PAIXAO;12015920;3;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC PROFª IRIS CELIA CABANELLAS ZANNINI;12015946;2;1;0;0;1;1;1;0;0;0;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC JOSE HIPOLITO DE SOUZA;12015970;3;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC PETRONIO FELINTO DE ALMEIDA;12016047;3;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC RECIFE;12016063;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC SANTA RITA;12016071;3;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC INDIGENA SAO LOURENCO;12016101;2;2;2;0;1;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC SAO SEBASTIAO;12016110;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC TANCREDO DE ALMEIDA NEVES;12016128;3;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC MARIA FERREIRA DE MEDEIROS;12018503;3;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC IDELZUITE RIBEIRO;12019844;3;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC BAIXA VERDE;12019887;3;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC 15 DE NOVEMBRO;12019933;3;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC LEDA BATISTA DA SILVA;12021164;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA BETEL;12021733;2;2;2;0;0;0;0;1;0;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA SETE ESTRELAS;12021741;2;2;2;0;0;0;0;1;0;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA KAJPAHA;12021750;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC MARCIONILIA ALMIRA DE ARAUJO;12022047;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC MANOEL SABOIA DOS SANTOS;12022063;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC HENRIQUE PASCOAL;12022071;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC ALTAMIRA;12022080;3;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC SIMON BOLIVAR;12022098;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC VICENTE BESSA;12023140;3;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC ALONSO GONCALVES GOMES;12025984;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA SAO PEDRO;12026158;2;2;2;0;0;0;0;1;0;0;0;0;1;0
2021;AC;Assis Brasil;1200054;ESC INDIGENA LIBERDADE;12026166;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA NOSSA SENHORA DA CONCEICAO;12026182;2;2;2;0;0;0;0;1;0;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA KUSHU;12026212;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA BELO HORIZONTE;12026891;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC NOVA CONQUISTA;12026964;3;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC INDIGENA ANANAIA;12027022;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA PORTO ALEGRE;12027464;2;2;2;0;0;0;0;0;1;0;0;0;1;0
2021;AC;Assis Brasil;1200054;ESC FRANCISCO CHAGAS DE SOUZA;12027502;3;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC SANDOVAL BATISTA DE ARAUJO;12028223;2;2;0;0;1;0;1;1;0;0;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC SARA LOPES PEREIRA;12029220;3;2;1;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC SARA NONATO;12029254;3;2;0;0;1;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA HIMATKALTSHI;12029270;2;2;2;0;0;0;0;1;0;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA PIYAKATI;12029289;2;2;2;0;0;0;0;1;0;0;0;0;1;0
2021;AC;Assis Brasil;1200054;ESC SANTA ROSA;12029297;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA SAO RAIMUNDO NONATO;12029505;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC NAPOLEAO PARDO;12029602;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC MARIA FERREIRA DA SILVA;12030244;3;1;0;0;1;1;1;0;0;0;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC INDIGENA HOSHA;12030660;2;2;2;0;1;0;0;1;0;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA KATAHIRI;12030678;2;2;2;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA HOMHA;12031941;2;2;2;0;0;0;0;1;0;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA USHE;12031950;2;2;2;0;0;0;0;1;0;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA HIXTIWURU;12031968;2;2;2;0;0;0;0;1;0;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA EMILIO PANDALIA;12032000;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA YONPIXWALU HIMATKALU;12032220;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA HOTAWAKALU;12032425;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC HUMAITA;12032743;3;2;0;0;0;0;0;0;0;1;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC MARIA SOCORRO RODRIGUES DE ARAUJO;12032891;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA NOVA VIDA;12033030;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC VICENTE BESSA;12033103;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Assis Brasil;1200054;ESC INDIGENA XINA VEDA;12033430;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA MANOEL RUFINO;12033448;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA TKATSHI;12033456;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA SALAO;12054224;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC INDIGENA JORGE SIMAO DA SILVA;12094234;2;2;2;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Assis Brasil;1200054;ESC MARIA NILDA DE ARAUJO;12106224;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC CEL MANOEL FONTENELE DE CASTRO;12016250;2;1;0;0;1;1;0;1;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC DOM PEDRO I;12016276;3;2;0;0;1;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC KAIRALA JOSE KAIRALA;12016284;2;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC FULGENCIO DE PAIVA;12016390;3;2;1;0;1;0;0;0;1;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC GESILDA DE FREITAS PAIXAO;12016420;3;2;1;0;0;0;0;0;1;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC GETULIO VARGAS;12016438;2;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC JOSE RUY DA SILVEIRA LINO;12016535;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC MIZAEL ABRAAHAO SAADY;12016659;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC NOSSA SENHORA DAS DORES;12016683;3;2;1;0;1;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC NOVA UNIAO;12016705;3;2;1;0;1;0;0;0;1;0;0;0;0;1
2021;AC;Brasiléia;1200104;ESC RAIMUNDA FLORES;12016845;3;2;1;0;0;0;0;1;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC SAO SEBASTIAO II;12016942;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC SANTA QUITERIA;12016977;3;2;1;0;0;0;0;0;1;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC VALDOMIRO FERREIRA BARROSO;12016993;3;2;1;0;1;0;1;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC INFANTIL OS PASTORINHOS;12017000;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC INSTITUTO ODILON PRATAGI;12017027;2;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC INFANTIL VITORIA SALVATIERRA CESAR;12017035;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC ELSON DIAS DANTAS;12018805;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC INFANTIL MENINO JESUS;12019615;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC JOSE MARREIRA FILHO;12019828;3;2;1;0;1;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC CEL JOAO BRANDAO;12021318;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC SAO FRANCISCO II;12023442;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC FLOR DE NATAL;12023450;3;2;1;0;1;0;0;0;1;0;0;0;0;1
2021;AC;Brasiléia;1200104;ESC SAO FRANCISCO I;12023477;3;2;1;0;1;0;0;0;1;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC JULIETA KAIRALA ESTEVES;12025470;3;2;1;0;1;0;0;0;1;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC HUMAITA;12025534;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC ANTONIO CARNEIRO DA SILVA;12026930;3;2;1;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC VALERIA BISPO SABALA;12026948;2;2;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC NOSSA SENHORA APARECIDA II;12026956;3;2;1;0;1;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;CRECHE MUNICIPAL ROMA EMILSE SILVA;12028320;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC AIRTON SENA;12028339;3;2;1;0;1;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC CONCI ALVES DE MELO;12028347;3;2;1;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC VITORIA;12029300;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC JUELITA MEIRELES;12029319;3;2;0;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC NOVA OLINDA;12029882;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC GETULIO VARGAS;12029890;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC FRANCISCO GERMANO DA SILVA;12032905;3;2;1;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC CAMPO VERDE;12035424;3;2;1;0;1;0;0;0;1;0;0;0;0;1
2021;AC;Brasiléia;1200104;ESC LUIZA ALVES BEZERRA;12045829;3;2;1;0;1;0;0;0;1;0;1;0;0;0
2021;AC;Brasiléia;1200104;ESC SANTA LUZIA;12046035;3;2;1;0;0;0;0;0;0;1;0;0;0;1
2021;AC;Brasiléia;1200104;ESC MARIA SOCORRO DE SOUZA FROTA;12046043;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC CAJUEIRO;12009350;2;2;0;0;0;0;0;1;0;0;0;1;0;0
2021;AC;Bujari;1200138;ESC SAO JOAO BATISTA;12009369;2;1;0;0;1;1;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC DO LIMOEIRO;12009377;2;2;0;0;0;0;0;1;0;0;0;0;0;1
2021;AC;Bujari;1200138;ESC GOVERNADOR EDMUNDO PINTO DE ALMEIDA NETO;12009407;3;1;0;0;1;1;0;0;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC FRANCISCO ANTONIO DA SILVA;12009423;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC FRANCISCO SALUSTIANO CARDOSO;12009431;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC JOSE CESARIO DE FARIAS;12009466;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC MAMEDIA MACIEL;12009474;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC MANOEL CEZARIO DE FARIAS;12009482;2;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC MAPINGUARI;12009490;2;2;0;0;0;0;0;0;1;0;0;0;0;1
2021;AC;Bujari;1200138;ESC OSVALDO VALE DA SILVA;12009512;3;2;0;0;1;0;0;1;0;0;1;0;0;0
2021;AC;Bujari;1200138;ESC PEDRO ALVARO;12009547;2;2;0;0;0;0;0;0;1;0;1;0;0;0
