NU_ANO_CENSO;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;CO_ENTIDADE;NO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;NU_DDD;NU_TELEFONE;TP_SITUACAO_FUNCIONAMENTO;CO_ESCOLA_SEDE_VINCULADA;IN_LOCAL_FUNC_PREDIO_ESCOLAR;TP_OCUPACAO_PREDIO_ESCOLAR;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_BANHEIRO;IN_COZINHA;QT_MAT_BAS;IN_AGUA_CARRO_PIPA
2019;AC;12;Acrelândia;1200013;12008966;ESC ALTINA MAGALHAES DA SILVA;3;2;0.0;BR 364 KM 114;S/N;ZONA RURAL;;69945000.0;68;9.8105E8;1;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;439.0;
2019;AC;12;Acrelândia;1200013;12009164;ESC MARIA DE JESUS RIBEIRO;2;2;0.0;RUA TEREZA DE JESUS PINTO;298;VILA REDENCAO;ZONA RURAL;69945000.0;68;32351680;1;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;230.0;
2019;AC;12;Acrelândia;1200013;12009229;ESC PROF PEDRO DE CASTRO MEIRELES;2;1;0.0;AV PARANA;SN;CENTRO;CENTRO;69945000.0;68;99193890;1;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;768.0;
2019;AC;12;Acrelândia;1200013;12009296;ESC SAO PEDRO;3;2;1.0;BR 364 KM 105 RAMAL DO PELE;;;ZONA RURAL;69945000.0;68;32351430;1;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;82.0;
2019;AC;12;Acrelândia;1200013;12018422;ESC SANTA LUCIA III;2;2;0.0;RAMAL GRANADA KM 16;SN;ZONA RURAL;ZONA RURAL;69945000.0;68;9.9937E8;1;0.0;1.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;273.0;
2019;AC;12;Acrelândia;1200013;12020613;ESC BRANCA DE NEVE;3;1;0.0;AVENIDA PARANA;366;;CENTRO;69945000.0;68;9.996E8;1;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;544.0;
2019;AC;12;Acrelândia;1200013;12021768;ESC MARCILIO PONTES DOS SANTOS;2;1;0.0;RUA RIO DE JANEIRO;1704;PREDIO PROPRIO;CENTRO;69945000.0;68;99453424;1;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;543.0;
2019;AC;12;Acrelândia;1200013;12023531;ESC NOVO HORIZONTE;3;1;0.0;RUA KESIA LOPES CARNEIRO;203;;CENTRO;69945000.0;68;32351181;1;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;432.0;
2019;AC;12;Acrelândia;1200013;12023582;ESC BOM JESUS;3;2;1.0;RAMAL GRANADA KM 16;SN;;ZONA RURAL;69945000.0;68;32351430;1;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;206.0;
2019;AC;12;Acrelândia;1200013;12048224;ESC RITA BOCALOM;3;1;0.0;RUA MINAS GERAIS;545;;CENTRO;69945000.0;68;32351197;1;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;499.0;
