nome;cod_ibge;ano;saldo_disponibilizado;saldo_executado;saldo_nao_utilizado;porcentagem_execucao
Acre;1200;2023;25616658;7971869;17644789;0.31
Acrelândia;1200013;2023;381107;180853;200254;0.33
Assis Brasil;1200054;2023;155258;104242;51016;0.13
Brasiléia;1200104;2023;342903;198277;144626;0.58
Bujari;1200138;2023;159379;12308;147071;0.08
Capixaba;1200179;2023;222031;117217;104814;0.53
Cruzeiro do Sul;1200203;2023;1892553;1304920;587633;0.68
Epitaciolândia;1200252;2023;368291;320572;47719;0.87
Feijó;1200302;2023;2838275;685978;2152297;0.14
Jordão;1200328;2023;4016802;3950636;66166;0.81
Mâncio Lima;1200336;2023;1292069;383875;908194;0.30
Manoel Urbano;1200344;2023;236752;115148;121604;0.49
Marechal Thaumaturgo;1200351;2023;1758738;384275;1374463;0.22
Plácido de Castro;1200385;2023;355655;105095;250560;0.30
Porto Walter;1200393;2023;764234;112937;651297;0.15
Rio Branco;1200401;2023;3805258;1185206;2620052;0.31
Rodrigues Alves;1200427;2023;789494;430225;359269;0.54
Santa Rosa do Purus;1200435;2023;275565;-20066;295631;0
Senador Guiomard;1200450;2023;286206;62932;223274;0.22
Sena Madureira;1200500;2023;582713;376515;206198;0.65
Tarauacá;1200609;2023;974206;514022;460184;0.53
Xapuri;1200708;2023;157360;74736;82624;0.53
Porto Acre;1200807;2023;339350;28879;310471;0.09
Acre;1200;2024;26590000;8601000;17980000;0.32
Acrelândia;1200013;2024;275180;109870;165310;0.39
Assis Brasil;1200054;2024;147880;35580;112300;0.24
Brasiléia;1200104;2024;1230000;589380;638170;0.47
Bujari;1200138;2024;147070;0;147070;0.00
Capixaba;1200179;2024;173490;119560;53930;0.68
Cruzeiro do Sul;1200203;2024;3060000;749390;2310000;0.24
Epitaciolândia;1200252;2024;349790;171330;178460;0.48
Feijó;1200302;2024;2870000;467360;2400000;0.16
Jordão;1200328;2024;834270;709330;124940;0.85
Mâncio Lima;1200336;2024;1540000;423520;1120000;0.27
Manoel Urbano;1200344;2024;211550;125320;86230;0.59
Marechal Thaumaturgo;1200351;2024;2160000;198180;1970000;0.09
Plácido de Castro;1200385;2024;401380;222770;178610;0.55
Porto Walter;1200393;2024;1030000;368930;659460;0.35
Rio Branco;1200401;2024;3510000;15000;3490000;0.01
Rodrigues Alves;1200427;2024;1260000;961530;297870;0.76
Santa Rosa do Purus;1200435;2024;307170;21050;286130;0.06
Senador Guiomard;1200450;2024;370150;133850;236300;0.36
Sena Madureira;1200500;2024;476970;430750;46220;0.90
Tarauacá;1200609;2024;931490;708360;223130;0.76
Xapuri;1200708;2024;149390;97330;52060;0.65
Porto Acre;1200807;2024;412880;150100;262780;0.36
Acre;1200;2025;28269315;10209646;18059669;0.36
Acrelândia;1200013;2025;290246;65692;224554;0.23
Assis Brasil;1200054;2025;215862;96559;119303;0.45
Brasiléia;1200104;2025;1274746;470854;803892;0.37
Bujari;1200138;2025;332295;-7823;340118;0.0
Capixaba;1200179;2025;157504;66928;90576;0.42
Cruzeiro do Sul;1200203;2025;3272843;1054416;2218427;0.32
Epitaciolândia;1200252;2025;262477;149009;113468;0.57
Feijó;1200302;2025;3338653;701234;2637419;0.21
Jordão;1200328;2025;2189435;754788;1434647;0.34
Mâncio Lima;1200336;2025;1545178;407349;1137829;0.26
Manoel Urbano;1200344;2025;241737;59537;182200;0.25
Marechal Thaumaturgo;1200351;2025;3303528;161828;3141700;0.08
Plácido de Castro;1200385;2025;319683;229514;90169;0.72
Porto Walter;1200393;2025;1223861;393638;830223;0.26
Rio Branco;1200401;2025;4261559;274759;3986800;0.06
Rodrigues Alves;1200427;2025;1766690;1028383;738307;0.58
Santa Rosa do Purus;1200435;2025;286126;215864;70262;0.75
Senador Guiomard;1200450;2025;336086;138082;198004;0.41
Sena Madureira;1200500;2025;528949;313177;215772;0.59
Tarauacá;1200609;2025;1222420;889477;332943;0.73
Xapuri;1200708;2025;102454;46604;55850;0.45
Porto Acre;1200807;2025;401760;102676;299084;0.26
