nome;cod_ibge;ano;valor_receita_impostos;valor_repasse_fundeb;valor_minimo_mde;valor_receita_vaaf;valor_receita_vaat;valor_receita_vaar;valor_receita_total_fundeb;valor_total_despesa_impostos;valor_receita_nao_aplicada;indicador_despesa_fundeb_profissionais;valor_receita_salario_educacao;valor_receita_pdde;valor_receita_pnae;valor_receita_pnate;valor_receita_outras_fnde;valor_receita_convenios;valor_receita_royalties;valor_receita_operacao_credito;valor_receita_outras_outras;valor_total_receitas_adicionais;valor_total_receita_educacao
Acre;1200;2021;6205454230.86;1148021827.32;10164298.35;0;0;0.00;838181940.66;410900623.25;50307356.8;74,83;8908453.52;230100;13866212.8;2140819.51;1727377.07;388182.03;25262673.35;415570.13;4421500;57360888.41;1306443452.32
Acre;1200;2022;7502282795.52;1393948222.07;7651815.7;0;0;0.00;1085913826.95;492393711.31;6604990.12;74,04;10243068.77;212280;0;0;0;0;51912871.88;0;0;62368220.65;1640675758.91
Acre;1200;2023;7913861864.58;1449998417.53;2692117.33;0;0;0;1089747423.93;537924444.53;9345469.64;79,24;10812928.24;306080;22442.79;4649015.53;0;5010196.99;47589920.29;0;0;68390583.84;1696062452.30
Acre;1200;2024;9260112468.41;1700903005;802751.56;0;0;10336361.22;1266787793.6;619560765.47;8584108.42;77,5;66893078.47;0;12953.78;5936684.18;0;34522319.6;32216366.98;0;0;139581403.01;2025929962.08
Acrelândia;1200013;2021;20359381.14;3646512.09;309259.11;0;0;0.00;12203048.07;1969759.13;1354898.67;70,26;150287.55;0;255373.8;182270.94;0;0;0;0;0;587932.29;14760739.49
Acrelândia;1200013;2022;25182322.32;4416799.73;354942.81;0;2482813.5;0.00;18866494.44;3130379.56;0;76,31;163978.61;0;0;196753.04;0;0;0;0;0;360731.65;22357605.65
Acrelândia;1200013;2023;28605946.29;4681807.87;0;0;1380617.34;0;16773346.93;5031038.84;0;80,62;183052.95;0;58836.8;39835.59;563507.32;0;0;0;0;845232.66;22649618.43
Acrelândia;1200013;2024;33027068.64;5614617.59;237141.06;0;1971085.21;0;19426368.96;2886169.4;564979.96;86,55;994691.33;0;269578.22;99838.48;338106.05;0;0;0;0;1702214.08;24014752.44
Assis Brasil;1200054;2021;14879409.41;2670453.06;24262.9;0;342600.15;0.00;8730288.65;1055091.31;269267.79;76,52;88527.96;39476.75;138372.26;30999.92;1238.57;0;0;0;0;298615.46;10083995.42
Assis Brasil;1200054;2022;17449170.18;3065505.16;1930.69;0;592589.61;0.00;9786255.15;1308615.06;33204.81;95,94;84107.22;31470;105525;37367.37;0;0;0;0;0;258469.59;11353339.80
Assis Brasil;1200054;2023;18703652.33;3183368.78;0;0;565778.19;0;10324047.71;1862737.98;0;98,56;100797.39;37092.7;158920.09;36230.86;606852.36;0;0;0;0;939893.40;13126679.09
Assis Brasil;1200054;2024;22542836.51;3794128.82;437388.37;0;1363296.69;0;12750555.05;1912004.01;650755.41;82,81;649997.27;32422.13;173115.71;30731.32;694493.86;0;0;0;0;1580760.29;16243319.35
Brasiléia;1200104;2021;42167158.61;7393105.39;159015.64;0;1665841.99;0.00;19031291.37;3274226.12;25052;71,68;190248.08;17080;328688.8;159609.36;2191.32;0;0;0;0;697817.56;23003335.05
Brasiléia;1200104;2022;50967538.09;8579095.65;3276.42;0;3172925.97;0.00;25046590.17;4928248.44;655139.19;88,43;203533.51;7915.32;302339.66;201589.45;8100.04;0;0;0;0;723477.98;30698316.59
Brasiléia;1200104;2023;53394656.67;9051884.97;0;0;3691277.34;185490.21;27022045.76;7616819.86;0;93;240109.93;1200;408773.8;133748.63;1845.86;0;0;0;0;785678.22;35424543.84
Brasiléia;1200104;2024;62334197.72;10421261.81;9856.64;0;3223996.65;300754.16;30826240;7874983.97;974.46;91,72;1540096.21;1274.72;441640.01;110607.14;1724265.63;0;0;0;0;3817883.71;42519107.68
Bujari;1200138;2021;17603272.7;3125916.94;37500;0;0;0.00;9691347.06;1934446.5;168416.44;71,38;104815.66;0;182355.8;159544.52;531.95;0;0;0;0;447247.93;12073041.49
Bujari;1200138;2022;21170942.39;3735650.96;37500;0;0;0.00;12400333.75;2157871.4;250330.55;79,1;122719.01;0;148377.6;4856.22;0;0;0;0;0;275952.83;14834157.98
Bujari;1200138;2023;23419199.72;3889301.64;0;0;0;96603.82;11746835.71;3986019.92;0;91,9;122360.93;0;203730;0;287116.93;0;0;0;0;613207.86;16346063.49
Bujari;1200138;2024;27434148.18;4687401.74;569561.14;0;676563.32;193093.41;14965589.32;4872037.38;591117.97;91,99;783731.56;180.55;240930.66;412.74;178549.35;0;0;0;0;1203804.86;21041431.56
Capixaba;1200179;2021;17486690.76;3065493.48;230665.81;0;888289.86;0.00;12569223.64;1292222.5;514408.81;70,05;131584.79;6824.4;223145.59;248029.31;10628.24;0;0;0;0;620212.33;14481658.47
Capixaba;1200179;2022;21336412.15;3635644.64;161657.92;0;3533828.92;0.00;19708876.2;1955424.08;310061.85;72,4;156786.32;18355.97;158875.62;263753.93;15223.22;0;0;0;0;612995.06;22277295.34
Capixaba;1200179;2023;22684410.97;3765329.99;0;0;3578583.07;271547.52;20039422.88;2230664.28;0;88,9;177477.79;8503.32;192957.57;210648.62;536619.04;0;0;0;0;1126206.34;23396293.50
Capixaba;1200179;2024;26405746.5;4502111.67;952.27;0;771763.18;463638.51;16960943.55;2310553.61;991598.3;85,11;976529.51;8990.8;274411.66;197114.16;219356.62;0;0;0;0;1676402.75;20947899.91
Cruzeiro do Sul;1200203;2021;97800477.23;15652686.28;656711.03;0;13137431.88;0.00;84864673.81;2331548.45;5582028.24;70,05;743162.64;11409;1485390.53;447582.04;0;0;0;0;0;2687544.21;89883766.47
Cruzeiro do Sul;1200203;2022;117488250.64;18581227.22;561913.06;0;17947960.94;0.00;111080003.69;10436515.88;38980.01;86,42;743342.3;10743.8;1306677.64;701171.63;38975.62;0;0;0;0;2800910.99;124317430.56
Cruzeiro do Sul;1200203;2023;138426950.98;21241899.69;8006372.02;0;10938578.44;711896.54;102102210.45;13413867.08;0;94,26;825854.37;10154.16;1445860.73;493238.55;1699642.42;609.88;0;0;7449.02;4482809.13;119998886.66
Cruzeiro do Sul;1200203;2024;171789809.99;26402035.01;546301.45;0;14489206.62;150770.76;116759234.45;22549324.58;11651995.65;70,13;5402944.22;15297.19;1746760.36;569695.48;1211175.63;1161.04;0;0;87.81;8947121.73;148255680.76
Epitaciolândia;1200252;2021;30094710.02;5214316.04;191365.11;0;2293552.38;0.00;16857936.26;2807937.47;919884.91;89,82;166341.09;0;215775.79;146231.07;0;0;0;0;0;528347.95;20194221.68
Epitaciolândia;1200252;2022;35065765.89;6027264.33;149706.15;0;2612474.77;0.00;20194559.75;3723096.37;51145.01;90,34;115794.72;9240;190803.72;137122.55;291471.6;0;0;0;0;744432.59;24662088.71
Epitaciolândia;1200252;2023;38909847.04;6342661.87;0;0;1041497.76;0;19520233.28;4812432.33;0;95,52;179199.79;9544.68;289603.8;123451.94;3204.93;0;0;0;0;605005.14;24937670.75
Epitaciolândia;1200252;2024;45776867.77;7496660.82;320632.83;0;2741315.15;535629.43;24267740.47;4231164.82;5605.78;85,69;1208694.09;9540;339586;109771.94;577196.32;0;0;0;0;2244788.35;30743693.64
Feijó;1200302;2021;36936567.9;6390268.1;309754.22;0;2253727.54;0.00;31427852.45;3609520.06;1028632.14;69,02;273573.07;3600;423574.8;179094.22;0;0;0;0;0;879842.09;35917214.60
Feijó;1200302;2022;47141862.05;7392145.46;322126.77;0;5491451.71;0.00;39867387.29;9108709.64;2526497.03;74,28;292341.18;3960;364727.6;476184.45;82192.86;0;0;0;0;1219406.09;50195503.02
Feijó;1200302;2023;49502428.93;7682180.76;0;0;3800460.74;356622.28;37835463.85;13404954.88;756250.73;81,24;363502.74;4980;450441.92;332704.14;0;0;0;0;0;1151628.80;52392047.53
Feijó;1200302;2024;56856043.11;8891572.37;105363.09;0;714875.75;689805.4;39167222.15;11079024.74;759237.73;92,19;1938156.87;4080;515574.41;268865.78;399600.52;0;0;0;0;3126277.58;53372524.47
Jordão;1200328;2021;15264162.01;2591109.42;731974.74;0;1014096.39;0.00;16243515.45;1261091.02;1138272.78;70,16;157190.44;42134.37;317723.92;386370.47;0;0;0;0;0;903419.20;18408025.67
Jordão;1200328;2022;16827292.09;2985756.43;732062.86;0;4002564.92;0.00;24560057.67;1155247.71;0;67,76;166335.18;39692.82;151903.26;436079.02;14805.74;0;0;0;0;808816.02;26524121.40
Jordão;1200328;2023;17371501.79;3101365.81;0;0;1957702.1;0;22102386.89;1598566.7;0;79,62;190859.8;46001.33;387862.15;343938.2;13877.07;0;0;0;0;982538.55;24683492.14
Jordão;1200328;2024;22746220.27;3692750.02;732860.08;0;7218334.69;0;33838559.78;2081742.99;558059.86;66,63;1396249.85;35815.54;453635.48;286758.03;4909;0;0;0;0;2177367.90;38097670.67
Mâncio Lima;1200336;2021;25362992.7;4554673.52;146883.13;0;2150184.79;0.00;22100337.36;1076522.82;31338.26;70,25;203787.56;1531.59;396102.38;177993.62;20255.91;742972;0;0;0;1542643.06;24719503.24
Mâncio Lima;1200336;2022;30694802.71;5348790.35;33688.46;0;4299020.26;0.00;27398522.88;2237840.02;26023.57;77,41;212354.16;2401.02;336462.05;237236.65;0;3628413.88;0;0;0;4416867.76;34053230.66
Mâncio Lima;1200336;2023;33261175.31;5542236.77;674815.82;0;3834093.65;353477.46;28308095.85;2842455.51;0;89,73;231248.55;2454.48;517956.04;196011.38;350400.27;954515.58;0;0;1538.55;2254124.85;33404676.21
Mâncio Lima;1200336;2024;40370517.77;6435501.6;607498.98;0;4805826.91;645828.44;32410983.02;3729420.71;1071134.91;82,7;1491331.73;883.17;502105.61;232655.39;608683.47;2631884.32;0;0;0;5467543.69;41607947.42
Manoel Urbano;1200344;2021;16163433.68;2700742.75;112785.56;0;0;0.00;13385544.96;1418430.88;137546.37;70,48;128725.17;24648.76;200131.23;83949.07;6650.98;0;0;0;0;444105.21;15248081.05
Manoel Urbano;1200344;2022;19757356.77;3099191.18;18451.36;332.46;3814142.61;0.00;21312243.66;2683741.28;0;73,77;150354.32;25817.98;199896.74;162740.65;24909.16;0;0;0;0;563718.85;24559703.79
Manoel Urbano;1200344;2023;21956086.8;3505255.33;70907.18;0;4079846.08;0;21086509.83;3022219.74;0;76,42;175901.86;27283.66;293223.45;138640.37;497825.19;0;0;0;0;1132874.53;25241604.10
Manoel Urbano;1200344;2024;28282578.44;4590181.5;286449.27;0;2991793.81;0;22642070.28;2910586.4;0;70,42;1122545.21;25621.49;312416.39;106133.28;792441.69;0;0;0;0;2359158.06;27911814.74
Marechal Thaumaturgo;1200351;2021;23374850.57;4216347.37;301785.69;0;2702162.3;0.00;38009387.69;383153.2;178264.43;70,02;383672.25;9720;562634.6;618467.82;0;0;0;0;976744.35;2551239.02;40943779.91
Marechal Thaumaturgo;1200351;2022;28241414.55;5001738.9;129445.89;0.01;596819.03;0.00;41139330.22;1532253.8;0;83,79;326888.14;9000;474066;552506;530754.93;0;0;0;0;1893215.07;44564799.09
Marechal Thaumaturgo;1200351;2023;30562793.19;5196659.31;2304387.99;0;77704.55;285564.99;42037318.09;1455852.06;302526.02;79,46;379651.27;7260;654057.6;601650.11;504610.78;0;0;0;0;2147229.76;45640399.91
Plácido de Castro;1200385;2021;32541494.37;5715102.09;15663.74;0;0;0.00;13082806.54;2371526.92;0;70,95;123928.08;2700;235551.8;165818.61;1019046;0;0;0;0;1547044.49;17001377.95
Plácido de Castro;1200385;2022;36835790.76;6473831.32;11238.36;0;1444877.15;0.00;16382677.72;2678383.29;12870.49;83,24;129454.49;2377.43;213864.41;199707.21;32621.1;0;0;0;0;578024.64;19639085.65
Plácido de Castro;1200385;2023;38401969.87;6617914.06;0;0;1626110.46;0;17658626.99;3918004.93;0;82,75;157311.49;2308.95;273765.98;125564.43;19871.69;0;0;0;0;578822.54;22155454.46
Plácido de Castro;1200385;2024;42954924.7;7338074.18;28769.7;0;1799783.31;389862.52;20142264.14;3636374.15;29.7;70,37;987970.93;0;282484.32;126394.52;1496697.11;0;0;0;0;2893546.88;26672185.17
Porto Walter;1200807;2021;17265099.29;3131205.56;38582.32;0;2044193.41;0.00;20999940.02;1816205.14;1600901.39;74,78;206085.13;23405.31;311075.04;326347.69;0;0;0;0;480000;1346913.17;24163058.33
Porto Walter;1200807;2022;20973019.59;3645276.23;59989.63;0;6446421.33;0.00;33768748.16;2194708.12;10856.66;84,61;233896.25;56991.41;294282.34;140856.3;220673.27;790000;0;0;0;1736699.57;37700155.85
Porto Walter;1200807;2023;21845201.39;3781364.65;0;0;4809366.84;168559.16;31623236.57;2024137.09;0;91,5;265754.85;25390.14;413372.47;274694.1;357565.94;345.09;0;0;1459.37;1338581.96;34985955.62
Porto Walter;1200807;2024;25940617.21;4520580.67;307103.91;0;3187574.29;300294.58;32844670.76;2196668.84;0;94,55;1657172.04;24444.29;445696.88;286548.16;1061928.48;72.96;0;0;0;3475862.81;38517202.41
Rio Branco;1200333;2021;885615226.37;133710982.26;2849935.47;0;0;0.00;143207042.26;96345782.98;0;72,7;1482717.52;2820;3213812.8;193490.6;120917.53;5700000;0;0;120917.53;10834675.98;250387501.22
Rio Branco;1200333;2022;1099443317.49;163622334.83;4006001.03;0;0;0.00;158349736.77;121439144.08;6295110.76;95,48;1758183.96;0;2112288.96;250141.94;262233.24;0;0;0;0;4382848.10;284171728.95
Rio Branco;1200333;2023;1181460112.31;170247594.08;0;0;0;2534352.32;170564146.56;197990565.84;0;103,65;1828561.49;0;2579211.62;236601.4;378641.5;0;0;0;0;5023016.01;373577728.41
Rio Branco;1200333;2024;1270918003.32;179224729.75;1451659.52;0;0;4772296.01;206639556.74;177994989.86;5316578.36;99,72;10680143.54;0;1740985.66;197315.72;2449085.16;0;0;0;0;15067530.08;399702076.68
Rodrigues Alves;1200427;2021;22694491.86;4088486.63;38122.86;0;4569418.26;0.00;29011436.56;594197.94;868655.05;70,83;252647.5;19860;489436.2;161996.48;0;0;0;0;0;923940.18;30529574.68
Rodrigues Alves;1200427;2022;29170221.59;4869915.06;24380.87;0;9519911.64;0.00;41037852.03;2645381.76;579036.08;73,02;269033.9;19560;130251;99384.73;0;0;0;0;0;518229.63;44201463.42
Rodrigues Alves;1200427;2023;29735719.26;5043960.08;503564.51;0;9062735.04;0;39650453.97;3929251.72;36072.72;94,19;320618.88;780;624446.8;99136.28;268096.14;0;0;0;0;1313078.10;44892783.79
Rodrigues Alves;1200427;2024;34944416.85;5835259.83;45421.68;0;11165603.61;556657.7;50281775.91;3484089.31;13569.22;94,07;2137621.42;0;662680.96;90017.84;848825.28;0;0;0;0;3739145.50;57505010.72
Santa Rosa do Purus;1200435;2021;15027354.7;2597895.32;324017.79;0;2212030.14;0.00;18371883.63;334997.45;679532.39;71,38;152269.62;24180;379533.16;80997.55;24180;0;0;0;0;661160.33;19368041.41
Santa Rosa do Purus;1200435;2022;16298191.83;2968631.19;110858.23;0;1784239.8;0.00;21121596.83;923187.53;187370.31;72,01;109723.93;0;240924.39;39504.75;169179.98;0;0;0;0;559333.05;22604117.41
Santa Rosa do Purus;1200435;2023;16445439.09;3050445.98;1323945.9;0;203339.41;225196.94;18620301.21;1082023.51;0;73,62;183737.54;6.58;294429.75;82050.37;2994.13;0;0;0;0;563218.37;20265543.09
Santa Rosa do Purus;1200435;2024;19820748.91;3614643.67;864.73;0;767460.62;438590.54;21287186.56;1644878.88;130261.68;70,62;783216.59;0;288721.41;78963.24;1209.17;0;0;0;0;1152110.41;24084175.85
Senador Guiomard;1200450;2021;34853772.15;5990097.25;163777.76;0;1814338.91;0.00;16762373.4;2749473.95;0;60,57;163917.17;0;305910;122014.95;57000;0;0;0;0;648842.12;20160689.47
Senador Guiomard;1200450;2022;40060444.03;6919093.26;4980.08;0;2639181.71;0.00;18648825.17;3604466.69;0;73,11;154425.02;0;219793.64;186284.7;0;0;0;0;0;560503.36;22813795.22
Senador Guiomard;1200450;2023;46046463.93;7392022.02;0;0;354471.34;256955.53;16443667.54;5054131.83;0;78,86;167341.42;0;323564.6;109282.15;43000;0;0;0;0;643188.17;22140987.54
Senador Guiomard;1200450;2024;52076105.66;8527766.12;40.38;0;535047.41;502234.98;17964350.61;6675788.81;1943059.24;79,92;1022576.91;109.72;336415.71;75007.65;1708.32;0;0;0;0;1435818.31;26075957.73
Sena Madureira;1200500;2021;49460226.77;8539710.38;23112.26;0;2920607.12;0.00;34203246.57;3730921.25;520295.24;69,56;341740.68;63540;542977.6;181278.69;28524.57;0;0;0;0;1158061.54;39092229.36
Sena Madureira;1200500;2022;58550107.7;9892311.03;70442.87;0;623066.67;0.00;37444946.36;9956464.48;0;87,52;337473.37;119400;460126;291090.11;990113.6;0;0;0;0;2198203.08;49599613.92
Sena Madureira;1200500;2023;61419226.22;10192015.58;0;0;3313356.54;570450.49;43989453.62;14213083.23;0;86,79;405109.67;48480;663593.6;324794.53;222992.24;0;0;0;0;1664970.04;59867506.89
Sena Madureira;1200500;2024;70193380.69;11734858.55;192042.97;0;7159483.38;704572.17;55147698.23;8561911.27;1040370.41;71,63;2616720.58;44160;709396;270068.28;1070956.63;0;0;0;0;4711301.49;68420910.99
Tarauacá;1200690;2021;42271153.9;7306886.97;65381.75;0;3459538.49;0.00;43361022.44;3947356.9;442989.66;70,71;409365.41;0;683390.4;412985.49;133538.23;0;0;0;102195.52;1741475.05;49049854.39
Tarauacá;1200690;2022;51779895.81;8478552.03;36754.79;0;10067064.06;0.00;60055193.16;4163275.5;214427.97;73,35;461163.6;0;45516.8;366536.53;7620;0;0;0;0;880836.93;65099305.59
Tarauacá;1200690;2023;60768473.46;8779718.47;0;0;9814772.93;456601.48;61097612.85;4939893.41;174093.55;84,59;555545.34;5100;851247.49;470223.01;327589.09;0;0;0;0;2209704.93;68247211.19
Tarauacá;1200690;2024;61296222.42;9537909.04;214099.82;0;10469183.64;952301.79;71611552.93;6235339.59;0;71,88;3535082.92;7980;853909.86;424460.12;218019.38;0;0;0;0;5039452.28;82886344.80
Xapuri;1200708;2021;30317439.34;5494873.48;86427.21;0;925040.95;0.00;12137889.68;2968142.42;876974.75;70,49;85354.42;20043.49;172786.64;33332.61;238.23;0;0;0;0;311755.39;15417787.49
Xapuri;1200708;2022;35784454.41;6297555.16;31473.31;0;941626.31;0.00;11466169.45;3125595.96;392487.2;79,74;91232.01;48650.85;142942.54;72751.89;877.12;0;0;0;0;356454.41;14948219.82
Xapuri;1200708;2023;37814674.39;6477922.51;0;0;1280845.68;0;13119969.38;3366363.04;0;88,81;114439.02;28853.41;198189.33;47382.14;417.02;0;0;0;0;389280.92;16875613.34
Xapuri;1200708;2024;44824870.25;7415641.6;256871.23;0;1984355.25;307475.49;14900261.75;3927732.89;367858.23;71,66;711719.66;26992.79;212407.93;28026.02;753095.44;0;0;0;0;1732241.84;20560236.48
