NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;DS_COMPLEMENTO;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;QT_MAT_BAS
2019;Acrelândia;1200013;ESC ALTINA MAGALHAES DA SILVA;12008966;3;2;0.0;BR 364 KM 114;ZONA RURAL;1.0;0.0;0.0;0.0;439.0
2019;Acrelândia;1200013;ESC MARIA DE JESUS RIBEIRO;12009164;2;2;0.0;RUA TEREZA DE JESUS PINTO;VILA REDENCAO;1.0;0.0;0.0;0.0;230.0
2019;Acrelândia;1200013;ESC PROF PEDRO DE CASTRO MEIRELES;12009229;2;1;0.0;AV PARANA;CENTRO;1.0;0.0;0.0;0.0;768.0
2019;Acrelândia;1200013;ESC SAO PEDRO;12009296;3;2;1.0;BR 364 KM 105 RAMAL DO PELE;;1.0;0.0;0.0;0.0;82.0
2019;Acrelândia;1200013;ESC SANTA LUCIA III;12018422;2;2;0.0;RAMAL GRANADA KM 16;ZONA RURAL;1.0;0.0;0.0;0.0;273.0
2019;Acrelândia;1200013;ESC BRANCA DE NEVE;12020613;3;1;0.0;AVENIDA PARANA;;1.0;0.0;0.0;0.0;544.0
2019;Acrelândia;1200013;ESC MARCILIO PONTES DOS SANTOS;12021768;2;1;0.0;RUA RIO DE JANEIRO;PREDIO PROPRIO;1.0;0.0;0.0;0.0;543.0
2019;Acrelândia;1200013;ESC NOVO HORIZONTE;12023531;3;1;0.0;RUA KESIA LOPES CARNEIRO;;1.0;0.0;0.0;0.0;432.0
2019;Acrelândia;1200013;ESC BOM JESUS;12023582;3;2;1.0;RAMAL GRANADA KM 16;;1.0;0.0;0.0;0.0;206.0
2019;Acrelândia;1200013;ESC RITA BOCALOM;12048224;3;1;0.0;RUA MINAS GERAIS;;1.0;0.0;0.0;0.0;499.0
2019;Acrelândia;1200013;ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN;12128236;2;2;0.0;BR 364 RAMAL PROGRESSO;;1.0;0.0;0.0;0.0;79.0
2019;Assis Brasil;1200054;ESC XVII DE NOVEMBRO;12007285;3;2;0.0;SGAL. ICURIA COL. ICURIA;ZONA RURAL;0.0;0.0;0.0;1.0;21.0
2019;Assis Brasil;1200054;ESC ALADIA AQUINO BONFIM;12015768;3;2;1.0;RESERVA SANTA QUITERIA COL. CAMPO BELO;ZONA RURAL;1.0;0.0;0.0;0.0;10.0
2019;Assis Brasil;1200054;ESC ALBERTO MARTAN;12015776;3;2;1.0;SGAL.SAO FRANCISCO COL.IRACEMA;ZONA RURAL;1.0;0.0;0.0;0.0;13.0
2019;Assis Brasil;1200054;ESC BENEDITO BATISTA DE ARAUJO;12015814;3;2;1.0;SGAL SAO FRANCISCO COL. LIVRAMENTO;;0.0;0.0;0.0;1.0;18.0
2019;Assis Brasil;1200054;ESC CHICO MENDES;12015830;3;2;0.0;SGAL.SAO FRANCISCO COL.CUMARU;RESEX CHICO MENDES;1.0;0.0;0.0;0.0;17.0
2019;Assis Brasil;1200054;ESC CARIOLANDO DE SOUZA GOMES;12015849;3;2;0.0;SGAL.SAO FRANCISCO COL.DERRETIDO;MARGEM DO RIO ACRE;0.0;0.0;0.0;1.0;41.0
2019;Assis Brasil;1200054;ESC EDILSA MARIA BATISTA;12015873;3;1;0.0;RUA ENEIDE BATISTA;PERTO DO HOSPITAL;1.0;0.0;0.0;0.0;288.0
2019;Assis Brasil;1200054;ESC FRANCISCO MENEZES DE ARAUJO;12015890;3;2;0.0;SGAL. SAO FRANCISCO, COL. VENEZA;ZONA RURAL;0.0;0.0;0.0;1.0;25.0
2019;Assis Brasil;1200054;ESC GEZILDA DE FREITAS PAIXAO;12015920;3;2;1.0;SGAL. SAO PEDRO, COL. SOL A SOL;ZONA RURAL;1.0;0.0;0.0;0.0;22.0
2019;Assis Brasil;1200054;ESC PROF IRIS CELIA CABANELLAS ZANNINI;12015946;2;1;0.0;RUA ENEIDE BATISTA;;1.0;0.0;0.0;0.0;1086.0
2019;Assis Brasil;1200054;ESC JOSE HIPOLITO DE SOUZA;12015970;3;2;0.0;SGAL. PARAGUACU COL. AGUA BOA;;1.0;0.0;0.0;0.0;21.0
2019;Assis Brasil;1200054;ESC PETRONIO FELINTO DE ALMEIDA;12016047;3;2;1.0;SGAL SAO PEDRO COL. MUSEU;;1.0;0.0;0.0;0.0;26.0
2019;Assis Brasil;1200054;ESC RECIFE;12016063;3;2;0.0;SGAL. SAO FRANCISCO COL. RECIFE;;0.0;0.0;0.0;1.0;27.0
2019;Assis Brasil;1200054;ESC SANTA RITA;12016071;3;2;0.0;SGAL. PARAGUACU, COL. ERECE;ZONA RURAL;1.0;0.0;0.0;0.0;14.0
2019;Assis Brasil;1200054;ESC INDIGENA SAO LOURENCO;12016101;2;2;2.0;TERRA INDIGENA MAMOADATE ALDEIA SAO LOURENCO RIO A;;0.0;0.0;0.0;1.0;15.0
2019;Assis Brasil;1200054;ESC SAO SEBASTIAO;12016110;3;2;1.0;SGAL. SAO PEDRO, RAMAL DO 18 KM 12;ZONA RURAL;0.0;0.0;0.0;1.0;9.0
2019;Assis Brasil;1200054;ESC TANCREDO DE ALMEIDA NEVES;12016128;3;2;0.0;SGAL. SAO FRANCISCO, COL. AMELIA;ZONA RURAL;1.0;0.0;0.0;0.0;21.0
2019;Assis Brasil;1200054;ESC MARIA FERREIRA DE MEDEIROS;12018503;3;2;1.0;SGAL. PARAGUACU COL. BACIA;;1.0;0.0;0.0;0.0;21.0
