Ano;Região;UF;Município;Código Município IBGE;CNPJ Município/SEDUC;Nome Escola;Código Escola;Rede Atendimento;Quantidade Alunos;CNPJ Executora;Nome Executora;Programa;Destinação;Valor Custeio;Valor Capital;Valor Total;Data da Ord. de Pagamento
2019;NORTE;AC;CRUZEIRO DO SUL;1200203;'04012548000102;ESC AIRTON SENA DA SILVA;12000183;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;74;'04438445000109;CONSELHO ESCOLAR AIRTON SENA DA SILVA;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;05/12/2019
2019;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC INFANTIL JOSE BERNARDO DE SOUZA;12002089;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;152;'02989354000136;CONSELHO ESCOLAR VALTER MIGUEL DA COSTA;PDDE EQUIDADE;Acessibilidade 2019;7968;1992;9960;03/09/2019
2019;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC JOSEFA DE QUEIROZ;12002186;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;55;'07515148000108;CONSELHO ESCOLAR LUTAS E CONQUISTAS;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;17/12/2019
2019;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC PEDRO DE MORAES;12002283;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;58;'11661222000171;CONSELHO ESCOLAR CONSORCIO RIO MOA;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;05/12/2019
2019;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC GERALDO GURGEL DE MESQUITA;12002291;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;21;'11661222000171;CONSELHO ESCOLAR CONSORCIO RIO MOA;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;05/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC 24 DE JANEIRO;12002410;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;83;'03298430000120;CONSELHO VINTE QUATRO DE JANEIRO;PDDE EQUIDADE;PDDE Água 2019;22400;5600;28000;05/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC AIRTON SENA;12002445;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;24;'11287925000181;CONSELHO ESCOLAR EDUCACAO E EFICIENCIA;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;20/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC CECILIA MEIRELES;12002496;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;9;'03252058000110;CONSELHO ESCOLAR CECILIA MEIRELES;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;20/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC GRACILIANO RAMOS;12002585;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;22;'03298444000143;CONSELHO ESCOLAR GRACILIANO RAMOS;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;20/12/2019
2019;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC HUGO CARNEIRO MESSIAS;12002593;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;22;'11287845000126;CONSELHO ESCOLAR TRANSPARENCIA E COMPANHEIRISMO;PDDE EQUIDADE;PDDE Água 2019;20000;5000;25000;20/12/2019
