Ano;Região;UF;Municipio;CNPJ EEX;Código Escola;Escola;Localização;CNPJ UEX;Razão Social;DDD Telefone;Telefone;Email;Rede de Atendimento;Mandato Dirigente;Data Fim do Mandato;Data Atualização;Hora Atualização
2019;NORTE;AC;Acrelândia;'84306737000127;12008966;ESC ALTINA MAGALHAES DA SILVA;Rural;'02437372000105;CONSELHO ESCOLAR ALTINA MAGALHAES DA SILVA;68.0;99085698.0;;PARTICULAR;VENCIDO;13/05/2025;23/07/2019;10:07:18
2019;NORTE;AC;Acrelândia;'84306737000127;12023582;ESC BOM JESUS;Rural;'32227567000191;CONSELHO ESCOLAR BOM JESUS;68.0;81074391.0;;PARTICULAR;À VENCER;20/05/2028;24/06/2019;12:06:10
2019;NORTE;AC;Acrelândia;'84306737000127;12020613;ESC BRANCA DE NEVE;Urbana;'10902719000171;CONS ESCOLAR DA EMEI CRECHE E PRE-ESCOLAR BRANCA DE NEVE;68.0;32351430.0;;PARTICULAR;À VENCER;17/04/2028;10/02/2020;10:02:15
2019;NORTE;AC;Acrelândia;'84306737000127;12023531;ESC NOVO HORIZONTE;Urbana;'04457407000101;CONSELHO ESCOLAR DRUMOND DE ANDRADE;68.0;92828362.0;;PARTICULAR;À VENCER;02/05/2028;11/02/2020;10:02:23
2019;NORTE;AC;Acrelândia;'84306737000127;12048224;ESC RITA BOCALOM;Urbana;'10276005000103;CONSELHO ESCOLAR SEBASTIAO RAMOS DA FONSECA;68.0;81145844.0;;PARTICULAR;À VENCER;30/04/2028;02/08/2019;05:08:47
2019;NORTE;AC;Assis Brasil;'04045993000179;12015776;ESC ALBERTO MARTAN;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015776;ESC ALBERTO MARTAN;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12025984;ESC ALONSO GONCALVES GOMES;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12025984;ESC ALONSO GONCALVES GOMES;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12022080;ESC ALTAMIRA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12022080;ESC ALTAMIRA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12027499;ESC ANTONIO RODRIGUES DOS ANJOS;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12027499;ESC ANTONIO RODRIGUES DOS ANJOS;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12019887;ESC BAIXA VERDE;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12019887;ESC BAIXA VERDE;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015849;ESC CARIOLANDO DE SOUZA GOMES;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015849;ESC CARIOLANDO DE SOUZA GOMES;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015830;ESC CHICO MENDES;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015830;ESC CHICO MENDES;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015873;ESC EDILSA MARIA BATISTA;Urbana;'03197963000115;CONSELHO ESCOLAR EDILSA MARIA BATISTA;68.0;99714325.0;;PARTICULAR;À VENCER;06/02/2027;30/05/2019;12:05:39
2019;NORTE;AC;Assis Brasil;'04045993000179;12027502;ESC FRANCISCO CHAGAS DE SOUZA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12027502;ESC FRANCISCO CHAGAS DE SOUZA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015890;ESC FRANCISCO MENEZES DE ARAUJO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015890;ESC FRANCISCO MENEZES DE ARAUJO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015920;ESC GEZILDA DE FREITAS PAIXAO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015920;ESC GEZILDA DE FREITAS PAIXAO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12022071;ESC HENRIQUE PASCOAL;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12022071;ESC HENRIQUE PASCOAL;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12032743;ESC HUMAITA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12032743;ESC HUMAITA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12019844;ESC IDELZUITE RIBEIRO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12019844;ESC IDELZUITE RIBEIRO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015970;ESC JOSE HIPOLITO DE SOUZA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12015970;ESC JOSE HIPOLITO DE SOUZA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12021164;ESC LEDA BATISTA DA SILVA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12021164;ESC LEDA BATISTA DA SILVA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12022063;ESC MANOEL SABOIA DOS SANTOS;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12022063;ESC MANOEL SABOIA DOS SANTOS;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12022047;ESC MARCIONILIA ALMIRA DE ARAUJO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12022047;ESC MARCIONILIA ALMIRA DE ARAUJO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12030244;ESC MARIA FERREIRA DA SILVA;Urbana;'10503366000137;CONSELHO ESCOLAR MARIA FERREIRA DA SILVA;68.0;99814572.0;;PARTICULAR;À VENCER;31/12/2027;03/06/2019;12:06:05
2019;NORTE;AC;Assis Brasil;'04045993000179;12018503;ESC MARIA FERREIRA DE MEDEIROS;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12018503;ESC MARIA FERREIRA DE MEDEIROS;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12106224;ESC MARIA NILDA DE ARAUJO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12106224;ESC MARIA NILDA DE ARAUJO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12032891;ESC MARIA SOCORRO RODRIGUES DE ARAUJO;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
