Município;2019;2020;2021;2022;2023;2024
Acrelândia;9197075.83;9162398.18;12115628.24;17162587.48;16551022.78;19302041.50
Assis Brasil;6156020.20;6262285.54;8329734.83;9705020.49;10237145.04;12788411.12
Brasiléia;12368416.39;12854851.62;18940150.41;24783988.44;26859192.37;30589023.28
Bujari;6838251.76;7273835.30;9456004.80;11732871.28;10831495.78;14221704.00
Capixaba;8498777.29;8269874.43;12239089.08;18628858.89;19467400.34;18098142.56
Cruzeiro do Sul;49673658.85;51479478.09;82998730.04;103093274.35;94797932.85;115848369.50
Epitaciolândia;10057076.19;10402023.26;16765919.05;19147133.56;18501165.05;24170436.29
Feijó;18707733.11;17907654.32;26736080.19;35631640.06;34804608.00;35394549.88
Jordão;11169257.32;10988300.03;16124743.17;23090066.45;21462903.98;34539752.92
Manoel Urbano;8081113.17;7990784.73;11535870.40;19360970.18;20575199.69;22381393.12
Marechal Thaumaturgo;24326384.01;23277603.22;35876423.32;37456354.35;38620580.55;49501692.67
Mâncio Lima;14715451.07;13773460.16;21043423.26;26274112.29;27197931.09;32167919.84
Plácido de Castro;9497019.71;9293627.60;12015339.63;15767017.13;17300485.49;20115568.59
Porto Acre;10604731.14;9101981.97;12355225.71;22989268.46;22379058.01;21629658.32
Porto Walter;13758699.22;14102247.21;20899421.71;31811725.01;29759253.89;32436773.01
Rio Branco;102498925.95;105055457.14;139127888.43;155107029.78;161396424.73;199935595.66
Rodrigues Alves;16342008.25;16238477.00;27368551.56;38470771.56;38972433.13;49839321.74
Santa Rosa do Purus;9717901.02;10733776.40;17109827.11;18515202.29;17155037.60;20434323.20
Sena Madureira;22686593.94;22783545.44;34076544.89;37134646.17;43898791.61;54344953.90
Senador Guiomard;10876086.16;10726955.07;16228187.32;18585876.45;16543267.40;19195117.74
Tarauacá;30482667.54;29434354.57;43057791.11;59520945.93;61768217.20;72046353.66
Xapuri;5596641.90;5958612.14;8783617.66;10011702.02;11438802.06;14772911.15
